ID,Supported,Absent,Opposed,Description,Picture,First,Last,Party,District,City,Email,Phone,Chamber,Score,X,Y,Grade,Normalized
75,33,30,36,Jim Morris R1-Oil City,http://house.louisiana.gov/H_Reps/RepPics09/rep1.jpg,Jim,Morris,R,1,Oil City,larep001@legis.la.gov,318-995-6852,Representative,48,53,46,F,-0.89
19,58,0,42,Roy Burrell D2-Shreveport,http://house.louisiana.gov/h_reps/RepPics09/rep2.jpg,Roy,Burrell,D,2,Shreveport,larep002@legis.la.gov,318-676-7137,Representative,58,52,99,F,-0.32
76,76,6,18,Barbara Norton D3-Shreveport,http://house.louisiana.gov/H_Reps/RepPics09/rep3.jpg,Barbara,Norton,D,3,Shreveport,nortonb@legis.la.gov,318-632-5887,Representative,81,48,108,B,1.01
103,76,0,24,Patrick Williams D4-Shreveport,http://house.louisiana.gov/H_Reps/RepPics09/rep4.jpg,Patrick,Williams,D,4,Shreveport,larep004@legis.la.gov,318-676-5990,Representative,76,37,98,C,0.82
91,24,27,48,Alan Seabaugh R5-Shreveport,http://house.louisiana.gov/H_Reps/RepPics09/rep5.jpg,Alan,Seabaugh,R,5,Shreveport,seabaugha@legis.la.gov,318-676-7990,Representative,33,61,124,F,-1.56
20,39,12,48,"Thomas Carmody R6-Shreveport, Bossier",http://house.louisiana.gov/H_Reps/RepPics09/rep6.jpg,Thomas,Carmody,R,6,"Shreveport, Bossier",carmodyt@legis.la.gov,318-862-9956,Representative,45,65,103,F,-1.08
16,45,0,55,Richie Burford R7-Stonewall,http://house.louisiana.gov/H_Reps/RepPics09/rep7.jpg,Richie,Burford,R,7,Stonewall,burfordr@legis.la.gov,318-925-9588,Representative,45,18,181,F,-1.08
100,45,0,55,Jeff Thompson R8-Bossier City,http://house.louisiana.gov/H_Reps/RepPics09/rep8.jpg,Jeff,Thompson,R,8,Bossier City,thompsonj@legis.la.gov,318-741-2850,Representative,45,66,78,F,-1.08
17,52,0,48,Henry Burns R9-Bossier Parish,http://house.louisiana.gov/H_Reps/RepPics09/rep9.jpg,Henry,Burns,R,9,Bossier Parish,burnsh@legis.la.gov,318-949-2463,Representative,52,95,94,F,-0.7
85,52,24,24,Gene Reynolds D10-Minden,http://house.louisiana.gov/H_Reps/RepPics09/rep10.jpg,Gene,Reynolds,D,10,Minden,reynoldsg@legis.la.gov,318-371-3092,Representative,68,130,46,D,0.06
58,82,12,6,Patrick Jefferson D11-Homer,http://house.louisiana.gov/H_Reps/RepPics09/rep11.jpg,Patrick,Jefferson,D,11,Homer,jeffersonpo@legis.la.gov,318-927-2519,Representative,93,184,52,A,1.58
92,82,0,18,Rob Shadoin R12-Ruston,http://house.louisiana.gov/H_Reps/RepPics09/rep12.jpg,Rob,Shadoin,R,12,Ruston,shadoinr@legis.la.gov,318-251-5039,Representative,82,263,48,B,1.2
31,52,0,48,Jim Fannin R13-Jonesboro,http://house.louisiana.gov/H_Reps/RepPics09/rep13.jpg,Jim,Fannin,R,13,Jonesboro,larep013@legis.la.gov,318-259-6620,Representative,52,256,160,F,-0.7
74,52,6,42,Jay Morris R14-Monroe,http://house.louisiana.gov/H_Reps/RepPics09/rep14.jpg,Jay,Morris,R,14,Monroe,morrisjc@legis.la.gov,318-362-4270,Representative,55,386,24,F,-0.51
49,45,0,55,Frank Hoffmann R15-W Monroe,http://house.louisiana.gov/H_Reps/RepPics09/rep15.jpg,Frank,Hoffmann,R,15,W Monroe,hoffmanf@legis.la.gov,318-362-4130,Representative,45,327,117,F,-1.08
56,58,18,24,Katrina Jackson D16-Monroe,http://house.louisiana.gov/H_Reps/RepPics09/rep16.jpg,Katrina,Jackson,D,16,Monroe,jacksonk@legis.la.gov,318-362-5123,Representative,70,0,0,C,0.25
53,82,0,18,Marcus Hunter D17 Monroe,http://house.louisiana.gov/H_Reps/RepPics09/rep17.jpg,Marcus,Hunter,D,17,,hunterm@legis.la.gov,318-362-3440,Representative,82,365,107,B,1.2
98,48,3,48,Major Thibaut D18-New Roads,http://house.louisiana.gov/H_Reps/RepPics09/rep18.jpg,Major,Thibaut,D,18,New Roads,thibautm@legis.la.gov,225-638-3811,Representative,50,452,434,F,-0.8
23,58,0,42,Bubba Chaney R19-Rayville,http://house.louisiana.gov/H_Reps/RepPics09/rep19.jpg,Bubba,Chaney,R,19,Rayville,chaneyb@legis.la.gov,318-728-5675,Representative,58,444,67,F,-0.32
84,39,12,48,Steve Pylant R20-Winnsboro,http://house.louisiana.gov/H_Reps/RepPics09/rep20.jpg,Steve,Pylant,R,20,Winnsboro,pylants@legis.la.gov,318-435-7313,Representative,45,406,205,F,-1.08
3,76,6,18,Andy Anders D21-Vidalia,http://house.louisiana.gov/H_Reps/RepPics09/rep21.jpg,Andy,Anders,D,21,Vidalia,larep021@legis.la.gov,318-336-5865,Representative,81,484,203,B,1.01
15,61,15,24,Terry Brown I22-Colfax,http://house.louisiana.gov/H_Reps/RepPics09/rep22.jpg,Terry,Brown,,22,Colfax,browntr@legis.la.gov,318-627-5153,Representative,71,288,246,C,0.35
25,88,6,6,Kenny Cox D23-Mansfield,http://house.louisiana.gov/H_Reps/RepPics09/rep23.jpg,Kenny,Cox,D,23,Mansfield,coxk@legis.la.gov,855-844-8583,Representative,94,131,213,A,1.77
52,45,6,48,Frank Howard R24-Many,http://house.louisiana.gov/H_Reps/RepPics09/rep24.jpg,Frank,Howard,R,24,Many,howardf@legis.la.gov,318-256-4135,Representative,48,70,279,F,-0.89
41,45,0,55,Lance Harris R25-Alexandria,http://house.louisiana.gov/H_Reps/RepPics09/rep25.jpg,Lance,Harris,R,25,Alexandria,harrisl@legis.la.gov,318-767-6095,Representative,45,263,345,F,-1.08
28,67,21,12,Herbert Dixon D26-Alexandria,http://house.louisiana.gov/H_Reps/RepPics09/rep26.jpg,Herbert,Dixon,D,26,Alexandria,dixonh@legis.la.gov,318-487-5661,Representative,85,0,0,B,0.92
44,82,0,18,Chris Hazel R27-Pineville,http://house.louisiana.gov/H_Reps/RepPics09/rep27.jpg,Chris,Hazel,R,27,Pineville,hazelc@legis.la.gov,318-767-6082,Representative,82,316,316,B,1.2
59,88,0,12,Robert Johnson D28-Marksville,http://house.louisiana.gov/H_Reps/RepPics09/rep28.jpg,Robert,Johnson,D,28,Marksville,johnsoro@legis.la.gov,318-253-8891,Representative,88,343,359,B,1.58
8,67,9,24,Regina Barrow D29-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep29.jpg,Regina,Barrow,D,29,Baton Rouge,larep029@legis.la.gov,225-359-9400,Representative,73,503,471,C,0.54
4,70,24,6,James Armes D30-Leesville,http://house.louisiana.gov/H_Reps/RepPics09/rep30.jpg,James,Armes,D,30,Leesville,armesj@legis.la.gov,337-238-7004,Representative,92,0,0,A,1.2
63,45,0,55,Nancy Landry R31-Lafayette,http://house.louisiana.gov/H_Reps/RepPics09/rep31.jpg,Nancy,Landry,R,31,Lafayette,landryn@legis.la.gov,337-262-2252,Representative,45,351,524,F,-1.08
47,82,0,18,Dorothy Sue Hill D32-Dry Creek,http://house.louisiana.gov/H_Reps/RepPics09/rep32.jpg,Dorothy Sue,Hill,D,32,Dry Creek,hilld@legis.la.gov,800-259-2118,Representative,82,191,425,B,1.2
27,58,0,42,Mike Danahay D33-Sulphur,http://house.louisiana.gov/H_Reps/RepPics09/rep33.jpg,Mike,Danahay,D,33,Sulphur,danahaym@legis.la.gov,337-527-5581,Representative,58,84,497,F,-0.32
33,82,0,18,A.B. Franklin D34-Lake Charles,http://house.louisiana.gov/H_Reps/RepPics09/rep34.jpg,A.B.,Franklin,D,34,Lake Charles,franklina@legis.la.gov,337-491-2320,Representative,82,159,507,B,1.2
36,42,21,36,Brett Geymann R35-Lake Charles,http://house.louisiana.gov/H_Reps/RepPics09/rep35.jpg,Brett,Geymann,R,35,Lake Charles,larep035@legis.la.gov,337-491-2315,Representative,54,141,461,F,-0.6
61,33,24,42,"Chuck Kleckley, Speaker R36-Lake Charles",http://house.louisiana.gov/H_Reps/RepPics09/rep36.jpg,Chuck,"Kleckley,",R,36,Lake Charles,larep036@legis.la.gov,337-475-3016,Representative,44,143,526,F,-1.08
40,45,0,55,Johnny Guinn R37-Jennings,http://house.louisiana.gov/H_Reps/RepPics09/rep37.jpg,Johnny,Guinn,R,37,Jennings,guinnj@legis.la.gov,337-824-0376,Representative,45,186,502,F,-1.08
65,88,6,6,Bernard LeBas D38-Ville Platte,http://house.louisiana.gov/H_Reps/RepPics09/rep38.jpg,Bernard,LeBas,D,38,Ville Platte,lebasb@legis.la.gov,337-363-0152,Representative,94,273,420,A,1.77
77,82,0,18,Stephen Ortego D39-Carencro,http://house.louisiana.gov/H_Reps/RepPics09/rep39.jpg,Stephen,Ortego,D,39,Carencro,ortegos@legis.la.gov,855-704-6319,Representative,82,361,486,B,1.2
99,58,6,36,Ledricka Thierry D40-Opelousas,http://house.louisiana.gov/H_Reps/RepPics09/rep40.jpg,Ledricka,Thierry,D,40,Opelousas,thierryl@legis.la.gov,337-948-369,Representative,61,342,444,D,-0.13
39,88,0,12,Mickey Guillory D41-Eunice,http://house.louisiana.gov/H_Reps/RepPics09/rep41.jpg,Mickey,Guillory,D,41,Eunice,larep041@legis.la.gov,337-457-0194,Representative,88,300,472,B,1.58
72,76,6,18,Jack Montoucet D42-Crowley,http://house.louisiana.gov/H_Reps/RepPics09/rep42.jpg,Jack,Montoucet,D,42,Crowley,montoucj@legis.la.gov,337-783-2999,Representative,81,292,523,B,1.01
11,36,15,48,Stuart Bishop R43-Lafayette,http://house.louisiana.gov/H_Reps/RepPics09/rep43.jpg,Stuart,Bishop,R,43,Lafayette,bishops@legis.la.gov,337-315-1661,Representative,43,368,516,F,-1.18
79,76,6,18,Vincent Pierre D44-Lafayette,http://house.louisiana.gov/H_Reps/RepPics09/rep44.jpg,Vincent,Pierre,D,44,Lafayette,pierrev@legis.la.gov,337-262-2330,Representative,81,365,497,B,1.01
88,21,30,48,Joel Robideaux R45-Lafayette,http://house.louisiana.gov/H_Reps/RepPics09/rep45.jpg,Joel,Robideaux,R,45,Lafayette,larep045@legis.la.gov,337-984-1091,Representative,30,356,507,F,-1.65
54,52,24,24,Mike Huval R46-Breaux Bridge,http://house.louisiana.gov/H_Reps/RepPics09/rep46.jpg,Mike,Huval,R,46,Breaux Bridge,huvalm@legis.la.gov,337-332-3331,Representative,68,436,514,D,0.06
46,52,6,42,Bob Hensgens R47-Abbeville,http://house.louisiana.gov/H_Reps/RepPics09/rep47.jpg,Bob,Hensgens,R,47,Abbeville,hensgensb@legis.la.gov,337-893-5035,Representative,55,319,536,F,-0.51
7,45,0,55,Taylor Barras R48-New Iberia,http://house.louisiana.gov/H_Reps/RepPics09/rep48.jpg,Taylor,Barras,R,48,New Iberia,barrast@legis.la.gov,337-373-4051,Representative,45,374,531,F,-1.08
